Name,Connection Strength,Log10
"TuTi (Basal Forebrain, Terminal islands) left",0.04,-1.3979400086720375
"Area Id2 (Insula) left",0.035,-1.4559319556497243
"Pv (Thalamus, paraventricular Nucleus) right",0.035,-1.4559319556497243
"Area IFS3 (IFS) left",0.03,-1.5228787452803376
"DG (Hippocampus) left",0.03,-1.5228787452803376
"Area IFJ1 (IFS, PreCS) left",0.03,-1.5228787452803376
"Area SFS1 (SFS) left",0.025,-1.6020599913279623
"Area Op7 (Frontal Operculum) left",0.02,-1.6989700043360187
"LB (Amygdala) left",0.02,-1.6989700043360187
"Area Ig3 (Insula) left",0.02,-1.6989700043360187
"Area Op3 (POperc) left",0.02,-1.6989700043360187
"VLA (Thalamus, ventral lateral anterior Nucleus) left",0.02,-1.6989700043360187
"Area IFS4 (IFS) left",0.015,-1.8239087409443189
"Area Op5 (Frontal Operculum) left",0.015,-1.8239087409443189
"Area Id4 (Insula) left",0.01,-2
"AV (Thalamus, anteroventral Nucleus) left",0.01,-2
"Area PirTB (PiriformCortexMesial, temporobasal) right",0.01,-2
"AM (Thalamus, anteromedial Nucleus) left",0.005,-2.3010299956639813
"Area IFJ2 (IFS, PreCS) left",0.005,-2.3010299956639813
"Area IFS1 (IFS) left",0.005,-2.3010299956639813
"Area SFS2 (SFS) left",0.005,-2.3010299956639813
"PUa (Thalamus, anterior pulvinar) right",0.005,-2.3010299956639813
"CL (Thalamus, anterior intralaminar nuclei) right",0.005,-2.3010299956639813
