Name,Connection Strength,Log10
"Area SFS2 (SFS) left",0.065,-1.1870866433571443
"Area Id2 (Insula) left",0.065,-1.1870866433571443
"Area SFS1 (SFS) left",0.06,-1.2218487496163564
"TuTi (Basal Forebrain, Terminal islands) left",0.055,-1.2596373105057561
"SNR (Midbrain, Substantia Nigra pars reticulata) left",0.055,-1.2596373105057561
"Pv (Thalamus, paraventricular Nucleus) right",0.045,-1.3467874862246563
"Area Op4 (POperc) left",0.035,-1.4559319556497243
"AV (Thalamus, anteroventral Nucleus) left",0.035,-1.4559319556497243
"AM (Thalamus, anteromedial Nucleus) left",0.03,-1.5228787452803376
"Area IFS3 (IFS) left",0.03,-1.5228787452803376
"Area Op7 (Frontal Operculum) left",0.025,-1.6020599913279623
"Area Id4 (Insula) left",0.025,-1.6020599913279623
"LB (Amygdala) left",0.025,-1.6020599913279623
"Area IFS1 (IFS) left",0.025,-1.6020599913279623
"Area IFJ1 (IFS, PreCS) left",0.025,-1.6020599913279623
"Area PirTB (PiriformCortexMesial, temporobasal) right",0.025,-1.6020599913279623
"Area IFS4 (IFS) left",0.02,-1.6989700043360187
"DG (Hippocampus) left",0.02,-1.6989700043360187
"Area Op3 (POperc) left",0.02,-1.6989700043360187
"VAmc (Thalamus, ventral anterior Nucleus, magnocellular part) right",0.02,-1.6989700043360187
"Area IFJ2 (IFS, PreCS) left",0.015,-1.8239087409443189
"ZI (Thalamus, zona incerta) right",0.015,-1.8239087409443189
"Area Op5 (Frontal Operculum) left",0.01,-2
"VLA (Thalamus, ventral lateral anterior Nucleus) left",0.01,-2
"VLA (Thalamus, ventral lateral anterior Nucleus) right",0.01,-2
"MD (Thalamus, mediodorsal Nucleus) left",0.005,-2.3010299956639813
"STN (Subthalamus) left",0.005,-2.3010299956639813
"Area Ig3 (Insula) left",0.005,-2.3010299956639813
